uf_abb,uf_code,munic_code,munic_name,d_1997,d_1998,d_1999,d_2000,d_2001,d_2002,d_2003,d_2004,d_2005,d_2006,d_2007,d_2008,d_2009,d_2010,d_2011,d_2012,d_2013,d_2014,d_2015,d_2016,d_2017,d_2018,d_2019,d_2020,d_2021,d_2022,previous_mun_1997,previous_mun_1998,previous_mun_1999,previous_mun_2000,previous_mun_2001,previous_mun_2002,previous_mun_2003,previous_mun_2004,previous_mun_2005,previous_mun_2006,previous_mun_2007,previous_mun_2008,previous_mun_2009,previous_mun_2010,previous_mun_2011,previous_mun_2012,previous_mun_2013,previous_mun_2014,previous_mun_2015,previous_mun_2016,previous_mun_2017,previous_mun_2018,previous_mun_2019,previous_mun_2020,previous_mun_2021,previous_mun_2022
RO,11,1100015,Alta Floresta D'Oeste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015,1100015
RO,11,1100023,Ariquemes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023,1100023
RO,11,1100031,Cabixi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031,1100031
RO,11,1100049,Cacoal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049,1100049
RO,11,1100056,Cerejeiras,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056,1100056
RO,11,1100064,Colorado do Oeste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064,1100064
RO,11,1100072,Corumbiara,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072,1100072
RO,11,1100080,Costa Marques,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080,1100080
RO,11,1100098,Espigão D'Oeste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098,1100098
RO,11,1100106,Guajará-Mirim,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106,1100106
